frnr,sad,motion
1,0.000000,0
2,2.116042,0
3,2.269792,0
4,2.405625,0
5,2.219271,0
6,2.052031,0
7,2.158229,0
8,2.327760,0
9,2.056094,0
10,2.041771,0
11,2.055260,0
12,2.155260,0
13,2.346250,0
14,2.382917,0
15,2.151823,0
16,0.000000,0
17,2.320729,0
18,2.223177,0
19,2.015365,0
20,2.065833,0
21,2.193646,0
22,2.042708,0
23,2.058229,0
24,2.148073,0
25,2.164740,0
26,2.388542,0
27,2.594583,0
28,2.134792,0
29,2.562865,0
30,2.249583,0
31,2.406302,0
32,2.311562,0
33,2.203958,0
34,2.742500,0
35,2.556458,0
36,2.422448,0
37,2.488281,0
38,2.641302,0
39,2.765469,0
40,3.250365,0
41,3.335000,0
42,3.505937,0
43,4.226875,0
44,3.498021,0
45,3.911719,0
46,3.470052,0
47,3.378229,0
48,3.637031,0
49,3.707813,0
50,3.847604,0
51,4.511458,0
52,4.498698,0
53,3.479375,0
54,3.950208,0
55,0.000000,0
56,3.947969,0
57,3.282031,0
58,3.798854,0
59,3.452865,0
60,3.609219,0
61,3.730833,0
62,3.237031,0
63,3.233437,0
64,3.306563,0
65,3.411198,0
66,3.551719,0
67,3.825208,0
68,5.182448,0
69,2.734062,0
70,2.497760,0
71,4.226146,0
72,2.445469,0
73,4.036771,0
74,2.934010,0
75,3.629427,0
76,4.519740,0
77,6.347344,0
78,7.550990,0
79,5.631667,0
80,3.746458,0
81,4.061719,0
82,2.655417,0
83,4.822865,0
84,9.441979,0
85,11.051302,0
86,8.005156,0
87,5.664010,0
88,5.579792,0
89,3.503646,0
90,3.032917,0
91,3.660365,0
92,5.778906,0
93,8.012135,0
94,7.643021,0
95,8.568021,0
96,6.927292,0
97,3.221563,0
98,4.391302,0
99,2.923281,0
100,3.554375,0
101,7.093958,0
102,10.355365,0
103,7.689167,0
104,7.101562,0
105,6.359063,0
106,4.886042,0
107,3.417083,0
108,2.213750,0
109,2.983177,0
110,3.569740,0
111,5.674844,0
112,6.902969,0
113,0.000000,0
114,8.047604,0
115,7.695208,0
116,5.040677,0
117,2.707396,0
118,2.509219,0
119,2.231406,0
120,2.338490,0
121,3.166302,0
122,3.298021,0
123,2.495208,0
124,2.283177,0
125,2.724687,0
126,4.233958,0
127,3.843125,0
128,3.758646,0
129,3.906146,0
130,4.305677,0
131,4.345521,0
132,5.472188,0
133,0.000000,0
134,3.455417,0
135,3.704687,0
136,3.440469,0
137,3.581667,0
138,3.491094,0
139,3.189844,0
140,2.673594,0
141,2.484271,0
142,2.340677,0
143,2.454167,0
144,2.186510,0
145,2.202500,0
146,2.153594,0
147,2.464479,0
148,2.260000,0
149,2.015573,0
150,2.062240,0
151,2.310000,0
152,2.455469,0
153,2.100573,0
154,2.075833,0
155,2.257552,0
156,2.136979,0
157,2.536094,0
158,2.550625,0
159,2.466094,0
160,2.445885,0
161,2.620573,0
162,2.264792,0
163,2.227760,0
164,2.251771,0
165,2.207865,0
166,2.458073,0
167,2.109219,0
168,2.606354,0
169,2.438906,0
170,2.171406,0
171,2.029010,0
172,0.000000,0
173,2.030052,0
174,2.486823,0
175,2.859583,0
176,2.395729,0
177,2.068229,0
178,2.384948,0
179,2.195677,0
180,2.228750,0
181,2.044688,0
182,2.328229,0
183,2.340990,0
184,2.160833,0
185,2.370000,0
186,2.078854,0
187,2.125990,0
188,2.262135,0
189,2.485833,0
190,2.117344,0
191,0.000000,0
192,2.458646,0
193,2.398594,0
194,2.177188,0
195,2.199896,0
196,2.133698,0
197,2.343177,0
198,2.126094,0
199,2.175104,0
200,2.373385,0
201,2.495208,0
202,2.426615,0
203,2.996198,0
204,2.402344,0
205,2.389167,0
206,2.585521,0
207,2.450677,0
208,2.438385,0
209,2.310573,0
210,2.178698,0
211,2.296146,0
212,2.506510,0
213,2.446458,0
214,2.426354,0
215,2.577344,0
216,2.633281,0
217,2.746354,0
218,2.353333,0
219,2.444219,0
220,2.141146,0
221,2.289740,0
222,2.164792,0
223,2.242552,0
224,2.369271,0
225,2.037812,0
226,2.069844,0
227,2.525833,0
228,2.122917,0
