iter,t2,sumr,sumg,sumb
1,NaN,NaN,NaN,NaN
2,2.762533,95.381621,84.028067,87.375283
3,1.058193,94.528746,83.069262,86.375736
4,0.477012,94.805794,83.411046,86.617021
5,0.232397,94.799909,83.462653,86.627886
6,0.315414,94.857854,83.440923,86.587144
7,0.214638,95.336804,84.004980,87.144409
8,0.202257,95.432322,84.115890,87.236306
9,0.122577,93.724792,82.545328,86.168825
10,0.130522,93.881129,82.657724,86.334413
11,0.116929,93.930157,82.778908,86.630435
12,0.143121,93.712766,82.692877,87.151711
13,0.134219,93.926276,82.812854,87.361531
14,0.152770,93.644140,82.742439,87.102079
15,0.119180,96.448196,85.490287,89.806198
16,0.126258,95.797585,84.515942,88.983575
17,0.141666,95.747343,84.488406,88.821256
18,0.116463,96.754857,85.735893,89.709991
19,0.118363,97.027290,86.129510,89.779833
20,0.114892,96.250231,85.038390,87.322387
21,0.133202,96.170675,84.908418,87.105920
22,0.115207,94.024575,82.534972,85.202741
23,0.118384,96.764107,85.507863,88.281221
24,0.118798,96.869103,85.711841,88.566142
25,0.116779,94.321834,82.987713,86.438091
26,0.122063,94.132798,83.015123,86.528828
27,0.121471,94.087429,83.002836,86.372401
28,0.145150,94.034972,82.838374,86.278828
29,0.134763,94.372803,82.705828,86.373728
30,0.123705,96.801720,85.208239,88.321865
31,0.117710,96.375736,84.891806,88.048438
32,0.117855,96.179463,84.627660,87.781221
33,0.130955,96.044866,84.413506,86.899630
34,0.118191,96.344952,84.568583,87.274332
35,0.120036,96.404708,84.684020,87.556813
36,0.126344,96.821186,85.311453,89.034857
37,0.111420,96.529140,85.066142,89.185014
38,0.109898,93.896392,82.596670,86.698427
39,0.116539,93.914894,82.643386,86.739130
40,0.125751,93.767345,82.376041,86.458372
41,0.127016,93.635985,82.286309,86.535153
42,0.124122,93.881129,82.481961,86.624422
43,0.131095,93.976873,82.517576,86.538390
44,0.122383,93.929232,82.558742,86.698890
45,0.120062,94.033765,82.668363,87.031915
46,0.132432,94.006475,82.690564,86.895005
47,0.132153,93.629972,82.620259,86.650786
48,0.116663,93.897317,82.599445,86.842738
49,0.133338,93.722017,82.533765,86.605458
50,0.118713,93.139685,81.764107,85.525439
51,0.120143,93.439408,81.888529,85.744681
52,0.123447,93.732655,82.436170,85.988899
53,0.128042,94.062442,82.688252,86.353839
54,0.127939,93.994450,82.508326,86.196577
55,0.113144,93.809436,82.494450,86.376503
56,0.115790,93.900555,82.477336,86.339963
57,0.117948,93.589269,82.158187,86.019426
58,0.127667,93.653099,82.316374,86.186864
59,0.136074,93.873728,82.734968,86.748844
60,0.117104,93.877428,82.904255,86.852914
61,0.121170,93.922757,82.977336,86.920444
62,0.120392,91.245863,79.856738,84.491253
63,0.123459,90.990544,79.783924,84.190071
64,0.123734,91.135225,79.910638,84.278960
65,0.122630,91.357920,79.995745,84.420331
66,0.119379,91.220804,79.986761,84.343735
67,0.135175,91.310638,80.025059,84.264775
68,0.115060,91.237352,79.941844,84.139480
69,0.124157,91.729630,80.401852,84.518056
70,0.122873,91.692593,80.410648,84.701852
71,0.131168,91.089835,79.845390,84.147518
72,0.181648,91.127660,79.888889,84.205201
73,0.121472,91.086052,79.880378,84.028842
74,0.113883,91.683333,80.463426,84.499537
75,0.113232,91.105910,79.839716,84.247754
76,0.116530,93.432932,82.174838,86.211378
77,0.122243,93.427382,82.119334,86.252544
78,0.116861,93.420444,82.179001,86.256707
79,0.116261,93.366327,82.137835,86.314061
80,0.126614,93.487512,82.290009,86.305273
81,0.122283,93.364940,82.236355,86.271508
82,0.112376,93.365402,82.232655,86.259944
83,0.126470,93.216466,82.130435,86.366790
84,0.113928,93.255319,82.164200,86.216466
85,0.125501,93.240981,82.148936,86.212303
86,0.132953,93.240518,82.132285,86.512026
87,0.119965,93.302498,82.290472,86.518964
88,0.118231,93.391767,82.447271,86.574931
89,0.118400,93.402405,82.423219,86.588344
90,0.114643,93.570768,82.490287,86.533765
91,0.141661,93.772895,82.587882,86.724792
92,0.123791,93.867715,82.694265,86.771045
93,0.131555,94.095745,82.886216,87.017114
94,0.149283,94.322387,83.166512,87.043941
95,0.116083,94.316836,83.080481,86.863552
96,0.113088,94.159574,82.958834,86.709528
97,0.111418,93.756707,82.519426,86.546716
98,0.116146,93.950971,82.663275,87.020814
99,0.121425,93.852451,82.699352,86.871415
100,0.127170,93.676688,82.693802,86.798797
101,0.113244,93.576318,82.643848,86.797872
