iter,facex,facey,t2
1,8.250000e+01,2.850000e+01,NaN
2,8.651529e+01,3.008479e+01,21.964964
3,8.341765e+01,4.752312e+01,4.169584
4,8.441699e+01,4.778220e+01,0.313083
5,8.439098e+01,4.740538e+01,0.146589
6,8.414271e+01,4.731106e+01,0.445154
7,8.490500e+01,4.793482e+01,0.234034
8,8.463860e+01,4.674251e+01,0.099965
9,8.470682e+01,4.592719e+01,0.060797
10,8.466518e+01,4.555892e+01,0.079867
11,8.557433e+01,4.501952e+01,0.078398
12,8.604951e+01,4.453293e+01,0.065060
13,8.606495e+01,4.464328e+01,0.101280
14,8.618429e+01,4.477996e+01,0.057787
15,8.664012e+01,4.564429e+01,0.102265
16,8.685849e+01,4.639877e+01,0.066614
17,8.679678e+01,4.696529e+01,0.101409
18,8.659272e+01,4.764254e+01,0.069658
19,8.640413e+01,4.812904e+01,0.060280
20,8.616402e+01,4.952103e+01,0.124977
21,8.611948e+01,4.987976e+01,0.167027
22,8.615068e+01,5.063457e+01,0.084974
23,8.614163e+01,5.089013e+01,0.064732
24,8.607970e+01,5.200850e+01,0.060612
25,8.606394e+01,5.280546e+01,0.086557
26,8.609280e+01,5.294510e+01,0.065711
27,8.641069e+01,5.176086e+01,0.115233
28,8.642920e+01,5.123901e+01,0.099549
29,8.513983e+01,5.088945e+01,0.140920
30,8.044851e+01,5.003311e+01,0.176897
31,7.693319e+01,4.954029e+01,0.101642
32,7.419243e+01,4.909463e+01,0.091935
33,7.128925e+01,4.842906e+01,0.077719
34,7.055585e+01,4.819468e+01,0.082011
35,6.576537e+01,4.733583e+01,0.080105
36,6.316601e+01,4.708350e+01,0.072841
37,6.226640e+01,4.688977e+01,0.066129
38,5.782752e+01,4.662632e+01,0.058279
39,5.525598e+01,4.638609e+01,0.072566
40,5.273199e+01,4.627057e+01,0.057119
41,5.191493e+01,4.634099e+01,0.085609
42,4.741032e+01,4.700459e+01,0.053104
43,4.337455e+01,4.773007e+01,0.130359
44,4.127512e+01,4.793385e+01,0.081486
45,3.835651e+01,4.859411e+01,0.086996
46,3.489955e+01,4.954773e+01,0.062217
47,3.245647e+01,4.995294e+01,0.105406
48,3.158122e+01,5.007530e+01,0.087448
49,3.214855e+01,5.012051e+01,0.090919
50,3.360029e+01,5.006419e+01,0.080397
51,3.581582e+01,4.992360e+01,0.052899
52,3.869294e+01,4.977708e+01,0.067515
53,4.528006e+01,4.944349e+01,0.156272
54,4.954981e+01,4.951759e+01,0.106709
55,5.474078e+01,4.954795e+01,0.075654
56,5.898359e+01,4.961979e+01,0.104823
57,6.348493e+01,4.972857e+01,0.072527
58,6.689362e+01,4.984709e+01,0.073868
59,7.022179e+01,4.997229e+01,0.061731
60,7.128489e+01,5.001731e+01,0.060247
61,7.534100e+01,5.010583e+01,0.054302
62,7.892527e+01,5.030448e+01,0.085855
63,8.349670e+01,5.047701e+01,0.100980
64,8.622289e+01,5.060011e+01,0.060182
65,8.897441e+01,5.065348e+01,0.062728
66,9.257343e+01,5.065315e+01,0.089821
67,9.519801e+01,5.058349e+01,0.059928
68,9.747536e+01,5.060721e+01,0.065325
69,9.934438e+01,5.062732e+01,0.062306
70,9.998109e+01,5.058887e+01,0.056120
71,1.024089e+02,5.069179e+01,0.067368
72,1.030357e+02,5.076704e+01,0.078690
73,1.063207e+02,5.097251e+01,0.068221
74,1.090146e+02,5.121667e+01,0.087129
75,1.117671e+02,5.135973e+01,0.076650
76,1.147977e+02,5.218331e+01,0.121987
77,1.171661e+02,5.245990e+01,0.074622
78,1.206091e+02,5.288700e+01,0.068957
79,1.229162e+02,5.325001e+01,0.067072
80,1.235874e+02,5.339536e+01,0.062510
81,1.267392e+02,5.399426e+01,0.078160
82,1.289471e+02,5.450171e+01,0.080575
83,1.293561e+02,5.462286e+01,0.080766
84,1.313920e+02,5.510140e+01,0.072177
85,1.322160e+02,5.535631e+01,0.068174
86,1.325122e+02,5.546029e+01,0.067645
87,1.333812e+02,5.572406e+01,0.080701
88,1.347440e+02,5.606796e+01,0.063138
89,1.349046e+02,5.609946e+01,0.073951
90,1.352035e+02,5.618304e+01,0.064510
91,1.349249e+02,5.631008e+01,0.053746
92,1.338272e+02,5.613499e+01,0.059204
93,1.311023e+02,5.556662e+01,0.070664
94,1.240788e+02,5.486882e+01,0.100685
95,1.178733e+02,5.404005e+01,0.097441
96,1.142845e+02,5.262717e+01,0.074317
97,1.111737e+02,5.138301e+01,0.105290
98,1.084468e+02,5.049689e+01,0.070555
99,1.065473e+02,5.011515e+01,0.095838
100,1.008549e+02,5.023814e+01,0.071456
101,1.008549e+02,5.023814e+01,0.082048
102,89,46,0.073681
103,8.873018e+01,3.944234e+01,0.403698
104,8.907613e+01,3.623035e+01,0.146547
105,8.937395e+01,3.509811e+01,0.096305
106,8.963139e+01,3.461171e+01,0.088223
107,8.973505e+01,3.440815e+01,0.064107
108,8.979048e+01,3.423487e+01,0.080990
109,8.980679e+01,3.417807e+01,0.065618
110,8.988605e+01,3.334969e+01,0.078645
111,8.990062e+01,3.310588e+01,0.058665
112,8.994443e+01,3.210192e+01,0.068886
113,8.992043e+01,3.152351e+01,0.082423
114,8.991251e+01,3.139868e+01,0.083417
115,8.992715e+01,3.058907e+01,0.070813
116,8.994205e+01,3.043009e+01,0.071302
117,9.001881e+01,2.995135e+01,0.099170
118,9.018481e+01,2.946370e+01,0.066047
119,9.036182e+01,2.898994e+01,0.066123
120,9.058630e+01,2.841458e+01,0.067426
121,9.101233e+01,2.724686e+01,0.072018
122,9.104502e+01,2.672591e+01,0.066511
123,9.094185e+01,2.618511e+01,0.071191
124,9.078447e+01,2.543699e+01,0.111052
125,9.060384e+01,2.475946e+01,0.153512
126,9.059898e+01,2.483699e+01,0.074162
127,9.066969e+01,2.615616e+01,0.113813
128,9.068427e+01,3.012022e+01,0.117788
129,9.052870e+01,3.348017e+01,0.101221
130,9.046616e+01,3.434286e+01,0.107677
131,8.964272e+01,4.026820e+01,0.073748
132,8.919787e+01,4.230251e+01,0.071917
133,8.864806e+01,4.465747e+01,0.084884
134,8.823716e+01,4.648163e+01,0.080560
135,8.762280e+01,4.839610e+01,0.075190
136,8.712953e+01,5.016206e+01,0.066009
137,8.670182e+01,5.199390e+01,0.073522
138,8.612938e+01,5.297731e+01,0.083572
139,8.576599e+01,5.324802e+01,0.076209
140,8.571153e+01,5.335904e+01,0.077187
141,8.563474e+01,5.379723e+01,0.064556
142,8.551485e+01,5.527362e+01,0.076413
143,8.558233e+01,5.577648e+01,0.072242
144,8.559737e+01,5.603785e+01,0.090091
145,8.552904e+01,5.833344e+01,0.079571
146,8.532487e+01,6.035710e+01,0.095178
